    1   10    2 1     364.100   9.012
    1    1   11 1     135.100   9.002
    2    9    2 1     148.500   8.997
    3    7    2 1     275.800   8.984
    2    4    9 1      70.200   8.984
    2    0   10 1     291.400   8.979
    4    2    2 1    1145.500   8.975
    4    0    3 1    1036.100   8.965
    2    8    5 1     465.700   8.964
    1    6    9 1     459.200   8.959
    0    9    6 1     802.500   8.944
    0    3   11 1     179.400   8.940
    2    1   10 1      42.500   8.939
    4    1    3 1     314.000   8.925
    1    8    7 1     339.600   8.925
    4    3    0 1    1160.100   8.910
    3    0    8 1      50.000   8.908
    1    2   11 1     224.500   8.882
    4    3    1 1     487.100   8.877
    3    1    8 1      15.200   8.869
    0   10    4 1      69.700   8.864
    3    5    6 1     524.400   8.859
    1   10    3 1     203.800   8.843
    2    9    3 1     322.700   8.828
    2    2   10 1      88.300   8.821
    3    7    3 1     562.600   8.817
    4    2    3 1     279.100   8.808
    3    6    5 1     586.300   8.795
    3    4    7 1     149.300   8.781
    4    3    2 1     273.500   8.779
    2    6    8 1     198.200   8.765
    1    5   10 1     315.000   8.759
    2    7    7 1     930.600   8.755
    3    2    8 1     345.400   8.754
    4    0    4 1     560.200   8.734
    0    7    9 1     243.800   8.706
    4    1    4 1     485.800   8.697
    1    9    6 1    1028.300   8.696
    1    3   11 1     251.700   8.692
    0    8    8 1     347.800   8.685
    0    4   11 1     115.900   8.672
    4    4    0 1     435.000   8.645
    2    5    9 1     458.100   8.639
    2    3   10 1     136.000   8.635
    4    3    3 1     915.600   8.622
    1   10    4 1     469.000   8.622
    4    4    1 1     678.000   8.615
    2    8    6 1     971.500   8.609
    2    9    4 1     136.600   8.608
    3    7    4 1     818.300   8.597
    0    6   10 1     455.200   8.593
    4    2    4 1     284.700   8.589
    0   11    0 1       0.000   8.587
    0   10    5 1     257.900   8.580
    3    3    8 1     230.100   8.572
    0   11    1 1     185.400   8.557
    0    0   12 1     222.600   8.547
    3    8    0 1     122.100   8.547
    0    9    7 1     519.900   8.532
    4    4    2 1     636.400   8.525
    3    8    1 1     206.800   8.517
    0    1   12 2       9.100   8.512
    1    7    9 1     686.400   8.477
    0   11    2 1     281.000   8.469
    4    0    5 1     216.500   8.463
    3    6    6 1     171.600   8.459
    3    5    7 1     678.200   8.458
    1    8    8 1      48.100   8.457
    1    4   11 1     217.700   8.445
    3    8    2 1     294.300   8.430
    4    1    5 1     409.900   8.429
    2   10    0 1      59.100   8.420
    4    3    4 1     301.300   8.417
    0    2   12 1     124.700   8.410
    2    4   10 1     200.200   8.393
    2   10    1 1     308.000   8.392
    3    0    9 1      51.100   8.386
    4    4    3 1     353.500   8.381
    1    6   10 1     257.400   8.372
    1   11    0 1     180.200   8.367
