    4    1   10 1   2921.0   60.1  13.903
    5    2    9 1   2721.7   59.9  13.897
    8    4    2 1   2233.9   45.6  13.867
    6    6    3 1   1498.5   53.6  13.824
    7    4    5 1   2667.7   56.2  13.821
    1    1   11 1   2451.8   79.7  13.798
    9    3    0 1   2497.9   68.1  13.793
    7    1    8 1   2135.9   49.0  13.778
    7    5    3 1   1810.0   40.8  13.765
    8    2    6 1   2690.6   57.7  13.741
    2    0   11 1   3653.1  114.3  13.739
    9    3    1 1   1302.7   39.3  13.738
    9    2    4 1   3456.0   68.2  13.731
    8    1    7 1    731.0   27.1  13.669
    5    0   10 1   2298.0   75.6  13.668
    6    1    9 1    553.5   31.0  13.662
   10    1    3 1   1019.1   33.0  13.650
    8    4    3 1   2300.0   51.1  13.593
    8    3    5 1   2145.6   46.1  13.589
    9    3    2 1   2987.8   63.2  13.577
    2    1   11 1   4878.2  100.8  13.567
   11    0    0 1   3960.1  162.2  13.563
    5    5    7 1   2364.7   69.8  13.556
    3    3   10 1   3320.6   89.8  13.555
    5    4    8 1   4129.9   82.7  13.549
   11    0    1 1    979.3   50.2  13.511
    6    4    7 1   4046.7   81.7  13.500
    4    2   10 1   2757.4   57.1  13.499
    3    0   11 1    407.3   43.2  13.457
    6    6    4 1    441.8   45.3  13.449
    6    3    8 1   2104.0   49.1  13.439
   10    0    5 1   2831.3   90.8  13.423
   10    2    0 1   3490.0  107.8  13.398
    7    5    4 1   3347.1   66.8  13.395
    8    0    8 1    142.2   51.8  13.384
    4    4    9 1    764.8   40.9  13.384
   11    0    2 1   3505.9   96.8  13.357
    9    1    6 1    558.5   26.8  13.350
    6    5    6 1   1205.3   36.5  13.350
   10    2    1 1   1912.6   49.4  13.348
    7    3    7 1    935.7   29.7  13.337
    5    1   10 1    805.6   32.5  13.336
    7    0    9 1   1601.4   60.7  13.330
    5    3    9 1   1327.7   34.9  13.330
    9    3    3 1    865.8   29.3  13.319
    2    2   11 1   1507.2   61.9  13.295
   10    1    4 1    761.5   30.9  13.288
    9    2    5 1   3050.4   65.2  13.263
    7    4    6 1   1769.0   40.5  13.245
    3    1   11 1   3612.1   73.6  13.243
    7    6    0 1    955.0   45.9  13.239
    8    4    4 1   2368.8   46.5  13.236
    9    0    7 1   1743.6   63.2  13.232
    7    2    8 1    746.0   32.0  13.226
   10    2    2 1   3869.9   78.7  13.199
    7    6    1 1   2179.6   50.9  13.190
    6    2    9 1   3344.1   64.2  13.174
    8    5    0 1   2927.8   80.8  13.136
   11    0    3 1    938.5   43.6  13.112
    4    0   11 1    603.4   47.6  13.089
    8    5    1 2   1015.0   34.1  13.088
    8    2    7 1   2596.1   55.3  13.079
    6    0   10 1   2199.2   67.3  13.078
    7    6    2 1   1741.1   40.9  13.047
    8    3    6 1   1862.7   42.1  13.041
    4    3   10 1   4613.7   85.6  13.028
    6    6    5 1   2854.7   77.9  13.009
    9    3    4 1   1985.2   39.9  12.983
   10    2    3 1    653.4   31.3  12.963
    7    5    5 1   2326.5   53.0  12.960
    8    5    2 1   4080.0   79.8  12.948
    3    2   11 1   4302.0   85.3  12.941
   11    1    0 1    775.7   34.6  12.937
    9    4    0 1   2202.0   64.6  12.937
    5    2   10 1   7045.4  130.0  12.930
    8    1    8 1   1034.5   36.8  12.924
    7    1    9 1   1127.2   32.1  12.924
   10    0    6 1   3268.1   87.9  12.894
    9    4    1 1   1042.3   32.2  12.892
   11    1    1 1    727.0   30.7  12.892
   10    1    5 1    528.4   29.2  12.863
    4    1   11 1   4064.4   77.5  12.844
    5    5    8 1    960.5   52.5  12.829
    7    6    3 1    767.1   30.4  12.818
    8    4    5 1   2190.4   50.0  12.815
    0    0   12 1   8655.7  547.7  12.813
   11    0    4 1   4758.0  126.3  12.791
    6    4    8 1    809.3   33.7  12.781
    1    0   12 1   2212.5   67.8  12.766
   11    1    2 1   1120.7   28.6  12.758
    9    4    2 1   4990.3   94.2  12.758
