   11    0    1 1    720.8   12.9  11.334
    8    2    7 1    252.4    4.7  11.327
    6    4    8 1   1442.4   16.7  11.299
    8    7    3 1   1342.8   18.8  11.294
   11    1    1 1   1844.1   21.1  11.288
    5    3    9 1   2266.9   25.7  11.262
    9    5    4 1    957.2   13.6  11.260
    3    2   10 1   1283.9   13.6  11.260
    7    2    8 1   2390.3   29.9  11.253
    9    4    5 1    349.7    5.1  11.216
    7    6    6 1    739.6   11.2  11.208
    9    2    6 1   2307.3   26.1  11.208
   10    5    0 1    135.3    7.8  11.202
   11    2    0 1   1740.9   26.0  11.202
   11    0    2 1   1450.1   23.3  11.183
    7    7    5 1   1000.0   20.1  11.172
    6    0    9 1    926.5   13.8  11.172
   10    4    3 1    838.2   11.6  11.159
   10    5    1 1   2973.7   37.1  11.153
   11    2    1 1   1058.9   11.8  11.153
    6    6    7 1   1641.5   29.4  11.146
   11    1    2 1    937.0   11.3  11.138
    6    1    9 1   1538.8   16.4  11.127
   10    3    4 1   3112.6   37.2  11.126
    4    0   10 1    649.2    9.9  11.126
    9    6    3 1   2154.9   30.7  11.115
    8    3    7 1   2323.3   27.1  11.102
   10    0    5 1    921.4   15.1  11.084
    8    6    5 1   1610.0   22.1  11.084
    4    1   10 1   3259.3   30.7  11.082
    8    8    0 1    685.2   20.8  11.070
    7    5    7 1   1706.8   21.5  11.059
   10    1    5 1   3065.5   34.4  11.041
    3    3   10 1   1098.1   16.6  11.039
    8    5    6 1   1876.9   24.5  11.033
    7    3    8 1    777.0   11.2  11.033
    8    8    1 1    673.8   16.2  11.022
   10    5    2 1    821.8   10.6  11.009
   11    2    2 1   1677.2   19.2  11.009
    6    2    9 1   1302.0   16.1  10.998
    9    3    6 1   1729.5   19.9  10.990
    9    7    0 1    926.8   18.9  10.984
   11    3    0 1   3704.3   54.1  10.984
    5    4    9 1   3020.2   36.2  10.956
    8    7    4 1   2386.7   32.4  10.954
    4    2   10 1   2438.3   24.2  10.954
   11    0    3 1    486.9    8.7  10.944
    9    7    1 1   2137.9   30.5  10.938
   11    3    1 1   1883.8   21.6  10.938
   10    2    5 1   2264.3   26.4  10.914
    6    5    8 1   2900.3   36.0  10.907
   11    1    3 1   3003.7   33.8  10.902
    8    8    2 1   2531.0   59.8  10.883
    9    5    5 1   2393.4   30.0  10.832
   10    4    4 1   3063.5   36.7  10.831
    8    4    7 1   1773.6   21.7  10.809
    9    7    2 1   1331.7   21.8  10.802
   11    3    2 1   2521.8   28.6  10.802
    6    3    9 1    733.7    9.9  10.792
    9    6    4 1   2284.0   28.7  10.790
    8    0    8 1    623.1   13.2  10.785
   11    2    3 1   3117.2   35.1  10.780
   10    5    3 1   2953.9   35.5  10.780
    1    0   11 1   1097.6   14.5  10.780
    9    0    7 1    924.1   15.0  10.769
    4    3   10 1   1512.0   18.0  10.751
    5    0   10 1    456.9    8.5  10.751
    8    1    8 1    893.9   12.8  10.745
    7    4    8 1    450.2    7.0  10.745
    1    1   11 1    131.4    4.0  10.741
   10    6    0 1   1852.5   33.6  10.739
    9    1    7 1   1181.8   13.8  10.729
   10    3    5 1   1260.1   13.9  10.713
    5    1   10 1    210.8    3.9  10.711
    9    4    6 1    833.7    9.6  10.706
   11    4    0 1    115.2    7.2  10.700
   10    6    1 1   1771.5   24.5  10.696
    7    7    6 1    397.3    8.6  10.667
    8    8    3 1   1722.0   33.7  10.663
    2    0   11 1   1507.6   21.5  10.663
   11    4    1 1    356.9    5.0  10.657
