    3    4    8 1     116.900   9.521
    2    5    8 1     443.000   9.521
    6    1    3 1     628.700   9.520
    1    8    3 1     382.000   9.517
    2    7    5 1     226.400   9.506
    1    3   10 1     540.300   9.483
    2    8    1 1     222.400   9.482
    4    2    8 1     179.600   9.482
    2    2   10 1     442.100   9.457
    5    5    2 1     307.100   9.443
    2    4    9 1     589.200   9.430
    1    7    6 1     566.900   9.420
    2    6    7 1     438.200   9.399
    2    8    2 1     384.900   9.364
    6    3    0 1     657.800   9.357
    0    8    4 1     194.500   9.356
    0    0   11 0       0.000   9.353
    3    6    6 1     466.900   9.332
    6    2    3 1     350.500   9.326
    6    3    1 1     288.900   9.318
    0    5    9 1     155.400   9.315
    6    0    4 1     305.100   9.309
    4    6    4 1     381.300   9.307
    3    3    9 1     631.300   9.304
    4    4    7 1     317.400   9.299
    0    1   11 1     724.600   9.291
    5    0    7 1      42.000   9.287
    3    7    4 1     143.700   9.281
    0    6    8 1     133.600   9.276
    5    5    3 1     571.700   9.250
    6    1    4 1     186.600   9.247
    1    8    4 1     423.300   9.244
    1    0   11 1     221.000   9.241
    4    5    6 1     123.300   9.233
    5    1    7 1     286.700   9.226
    5    3    6 1      21.000   9.222
    6    3    2 1     458.900   9.206
    1    5    9 1     794.400   9.205
    5    4    5 1     202.600   9.204
    1    1   11 1     387.400   9.181
    2    8    3 1     270.800   9.176
    4    3    8 1     335.400   9.168
    1    6    8 1     415.200   9.167
    0    4   10 1     440.500   9.157
    3    0   10 1     295.000   9.146
    2    3   10 1     421.400   9.146
    4    7    0 1      19.900   9.111
    0    2   11 1     374.500   9.110
    2    7    6 1     159.600   9.089
    3    1   10 1     363.800   9.088
    4    0    9 1     163.400   9.087
    4    7    1 2     223.700   9.075
    6    2    4 1     141.600   9.069
    1    4   10 1     519.300   9.052
    5    2    7 1     315.000   9.049
    0    7    7 1     755.900   9.047
    4    1    9 1     202.500   9.030
    6    3    3 1     468.600   9.027
    0    8    5 2     528.200   9.026
    1    2   11 1     295.900   9.006
    5    5    4 1      97.500   8.999
    6    0    5 1      82.800   8.984
    4    6    5 1     323.500   8.982
    3    8    0 1     379.800   8.973
    4    7    2 1     371.600   8.971
    3    5    8 1     236.400   8.971
    3    7    5 1     534.800   8.959
    1    7    7 1     326.800   8.945
    6    4    0 1     491.300   8.942
    3    8    1 1     535.700   8.939
    2    8    4 1     427.200   8.930
    5    6    0 1     233.600   8.930
    2    0   11 2     467.900   8.928
    6    1    5 1     189.800   8.928
    0    9    0 0       0.000   8.928
    1    8    5 1      92.000   8.925
    3    2   10 1     211.700   8.918
    6    4    1 1     191.000   8.908
    5    6    1 1      54.500   8.896
    3    4    9 1      60.000   8.896
    2    5    9 1     315.400   8.895
    0    9    1 1     268.600   8.894
    2    1   11 2     105.500   8.874
    3    6    7 1     512.200   8.869
    4    2    9 1     637.800   8.864
    2    6    8 1     180.200   8.861
    3    8    2 1     266.000   8.840
    1    9    0 1     549.200   8.830
    0    3   11 1     268.700   8.830
    5    4    6 1     273.700   8.824
    6    4    2 2     686.100   8.810
    4    7    3 1     583.600   8.806
    5    6    2 1     533.300   8.798
    1    9    1 1     353.800   8.798
    0    9    2 1     802.500   8.796
    6    3    4 1     351.200   8.793
    4    5    7 1     336.900   8.785
    4    4    8 1     256.400   8.777
    5    3    7 1      99.300   8.775
    6    2    5 1     318.700   8.767
    5    0    8 1      90.000   8.767
    2    4   10 1     862.800   8.757
    1    3   11 1     355.900   8.736
    2    2   11 1     406.200   8.716
    5    1    8 1     178.900   8.715
    5    5    5 1     193.900   8.704
    1    9    2 1      89.700   8.703
    0    6    9 1     289.900   8.695
    3    8    3 1     326.000   8.681
    0    8    6 1     111.800   8.667
    0    5   10 1     519.600   8.665
    2    7    7 1     312.300   8.660
    3    3   10 1     181.700   8.655
    6    4    3 1     372.100   8.653
    2    8    5 1     406.300   8.642
    5    6    3 1     168.400   8.642
    0    9    3 1     236.700   8.640
    6    0    6 1     147.400   8.629
    4    6    6 1     561.400   8.628
    3    7    6 1     375.000   8.607
    4    3    9 1     104.600   8.606
    1    6    9 1     110.500   8.605
    4    7    4 2     474.900   8.588
    6    1    6 1     486.400   8.580
    1    8    6 1     373.400   8.577
    1    5   10 2      95.500   8.576
    0    0   12 1     644.200   8.574
    5    2    8 1     645.500   8.566
    0    7    8 1     687.000   8.564
    7    0    0 0       0.000   8.559
    2    9    0 1      84.500   8.556
    1    9    3 1     259.300   8.551
    7    0    1 1     310.000   8.530
    2    9    1 1     487.200   8.527
    0    1   12 1     534.200   8.525
    6    3    5 1     161.100   8.517
    7    1    0 1     119.600   8.511
    1    0   12 0       0.000   8.487
    7    1    1 1     370.000   8.482
    6    5    0 1     261.700   8.482
    4    0   10 2     146.500   8.481
    0    4   11 1     650.800   8.479
    1    7    8 1     734.700   8.478
    3    8    4 1     247.900   8.472
    3    0   11 1     403.400   8.470
    2    3   11 1     320.000   8.470
    6    5    1 1     266.700   8.453
    6    4    4 1     118.300   8.446
    7    0    2 1     306.300   8.443
    3    5    9 1     398.100   8.442
    1    1   12 1      69.800   8.440
    2    9    2 1      88.900   8.440
    6    2    6 1     327.000   8.437
    5    6    4 1     638.500   8.436
    0    9    4 1     216.300   8.434
    4    1   10 1     488.300   8.434
    5    4    7 1     291.900   8.430
    3    1   11 2     246.000   8.424
    3    6    8 1     249.400   8.413
    7    1    2 1     546.400   8.397
    1    4   11 1     603.600   8.396
    0    2   12 1     709.100   8.385
    5    5    6 1     183.300   8.381
    7    2    0 1      94.600   8.371
    6    5    2 1     150.000   8.369
    1    9    4 1     272.400   8.352
    2    6    9 1     140.400   8.350
    7    2    1 1     388.800   8.344
    4    8    0 1     165.400   8.342
    4    5    8 1     368.400   8.340
    5    3    8 1     114.300   8.332
    4    7    5 1     362.700   8.331
    2    8    6 1     278.200   8.325
    3    4   10 1     157.100   8.324
    2    5   10 1     471.500   8.324
    4    8    1 1     223.600   8.315
    7    0    3 1     249.700   8.304
    1    2   12 1     413.500   8.304
    2    9    3 1      67.700   8.302
    4    2   10 1     430.500   8.298
    0    8    7 1     174.900   8.293
    5    7    0 1     473.900   8.289
    3    2   11 1     328.200   8.288
    4    4    9 1     293.800   8.280
    5    0    9 1     335.900   8.271
    7    2    2 1      88.800   8.263
    5    7    1 1     313.500   8.262
    7    1    3 1     115.800   8.260
    6    0    7 1     203.200   8.260
    4    6    7 1     192.300   8.259
    2    0   12 1     187.100   8.243
    3    7    7 1     236.600   8.241
    4    8    2 1     484.300   8.234
    2    7    8 1     225.200   8.234
    6    5    3 1     462.200   8.234
    5    1    9 1     362.500   8.228
    3    8    5 1     116.400   8.225
    6    1    7 1     184.300   8.216
    1    8    7 1     219.000   8.214
    6    3    6 1     174.600   8.213
    6    4    5 1     276.400   8.201
    2    1   12 1     247.500   8.200
    5    6    5 1     572.800   8.192
    0    9    5 1     289.600   8.190
    5    7    2 1     341.400   8.184
    0    3   12 1     293.300   8.166
    0    6   10 1      32.500   8.159
